,Neighbourhood,NeighbourhoodLatitude,NeighbourhoodLongitude,Venue,VenueLatitude,VenueLongitude,VenueCategory,VenuePrimary,Borough,Longitude,City
3414,Chinatown,40.71561842231432,-73.99427936255978,Vanessa's Dumpling House,40.718316255518644,-73.99188498001898,Dumpling Restaurant,food,Manhattan,-73.99427936255978,New York
3415,Chinatown,40.71561842231432,-73.99427936255978,Grand Seoul,40.71744683908609,-73.99425648068716,Korean Restaurant,food,Manhattan,-73.99427936255978,New York
3416,Chinatown,40.71561842231432,-73.99427936255978,V One Salon,40.714713401536464,-73.99759144308398,Salon / Barbershop,shops,Manhattan,-73.99427936255978,New York
3417,Chinatown,40.71561842231432,-73.99427936255978,Zarin Fabrics,40.717456325343846,-73.99114473457048,Furniture / Home Store,shops,Manhattan,-73.99427936255978,New York
3418,Chinatown,40.71561842231432,-73.99427936255978,JaJaJa Plantas Mexicana,40.714197627245426,-73.9901568736444,Mexican Restaurant,food,Manhattan,-73.99427936255978,New York
3419,Chinatown,40.71561842231432,-73.99427936255978,Factory Tamal,40.71587612490716,-73.99046733643608,Mexican Restaurant,food,Manhattan,-73.99427936255978,New York
3420,Chinatown,40.71561842231432,-73.99427936255978,Cafe Katja,40.71772249773717,-73.9904973426323,Austrian Restaurant,food,Manhattan,-73.99427936255978,New York
3421,Chinatown,40.71561842231432,-73.99427936255978,Peachy's,40.71445204430717,-73.99799106067414,Cocktail Bar,nightlife,Manhattan,-73.99427936255978,New York
3422,Chinatown,40.71561842231432,-73.99427936255978,La Bella Ferrara,40.71744962394581,-73.99837323694786,Bakery,food,Manhattan,-73.99427936255978,New York
3423,Chinatown,40.71561842231432,-73.99427936255978,Shanghai 21,40.714423425836316,-73.99890393018723,Shanghai Restaurant,food,Manhattan,-73.99427936255978,New York
3424,Chinatown,40.71561842231432,-73.99427936255978,Orchard Grocer,40.71784735323789,-73.99035763050085,Vegetarian / Vegan Restaurant,food,Manhattan,-73.99427936255978,New York
3425,Chinatown,40.71561842231432,-73.99427936255978,The Great Frog,40.717598653646384,-73.99045659548838,Jewelry Store,shops,Manhattan,-73.99427936255978,New York
3426,Chinatown,40.71561842231432,-73.99427936255978,Las’ Lap,40.717690463104404,-73.99043516357852,Bar,nightlife,Manhattan,-73.99427936255978,New York
3427,Chinatown,40.71561842231432,-73.99427936255978,Attaboy,40.71898117410041,-73.99154017207253,Speakeasy,nightlife,Manhattan,-73.99427936255978,New York
3428,Chinatown,40.71561842231432,-73.99427936255978,Utepia Tea,40.7166055120795,-73.99697444717546,Bubble Tea Shop,food,Manhattan,-73.99427936255978,New York
3429,Chinatown,40.71561842231432,-73.99427936255978,Taiwan Bear House,40.714723812422385,-73.9977298736621,Taiwanese Restaurant,food,Manhattan,-73.99427936255978,New York
3430,Chinatown,40.71561842231432,-73.99427936255978,Oliver Coffee,40.71298560725299,-73.99810600924503,Coffee Shop,food,Manhattan,-73.99427936255978,New York
3431,Chinatown,40.71561842231432,-73.99427936255978,Pho Vietnam,40.7175304403123,-73.99412803138348,Vietnamese Restaurant,food,Manhattan,-73.99427936255978,New York
3432,Chinatown,40.71561842231432,-73.99427936255978,Kong Sihk Tong 港食堂,40.715480102638,-73.99810923048585,Cantonese Restaurant,food,Manhattan,-73.99427936255978,New York
3433,Chinatown,40.71561842231432,-73.99427936255978,Great N.Y. Noodletown,40.715039001656855,-73.99694075378208,Chinese Restaurant,food,Manhattan,-73.99427936255978,New York
3434,Chinatown,40.71561842231432,-73.99427936255978,Eye Solutions,40.7149274142558,-73.9987735799202,Optical Shop,building,Manhattan,-73.99427936255978,New York
3435,Chinatown,40.71561842231432,-73.99427936255978,Mei Li Wah,40.71551985009458,-73.9979727016834,Bakery,food,Manhattan,-73.99427936255978,New York
3436,Chinatown,40.71561842231432,-73.99427936255978,Hawa Smoothies,40.71419954712218,-73.98938973402699,Juice Bar,food,Manhattan,-73.99427936255978,New York
3437,Chinatown,40.71561842231432,-73.99427936255978,Old Man Hustle,40.71616255673685,-73.98935118294928,Bar,nightlife,Manhattan,-73.99427936255978,New York
3438,Chinatown,40.71561842231432,-73.99427936255978,Di Palo Fine Foods,40.71914769980916,-73.99657675353625,Gourmet Shop,shops,Manhattan,-73.99427936255978,New York
3439,Chinatown,40.71561842231432,-73.99427936255978,Nom Wah Tea Parlor,40.714512,-73.998235,Dim Sum Restaurant,food,Manhattan,-73.99427936255978,New York
3440,Chinatown,40.71561842231432,-73.99427936255978,Kung Fu Tea (功夫茶),40.717118904809354,-73.9945616,Bubble Tea Shop,food,Manhattan,-73.99427936255978,New York
3441,Chinatown,40.71561842231432,-73.99427936255978,Dudley's,40.718053,-73.990353,Australian Restaurant,food,Manhattan,-73.99427936255978,New York
3442,Chinatown,40.71561842231432,-73.99427936255978,New Kam Man,40.71697342168782,-73.99830174004558,Supermarket,shops,Manhattan,-73.99427936255978,New York
3443,Chinatown,40.71561842231432,-73.99427936255978,Williamsburg Pizza,40.71830322683665,-73.99104579292138,Pizza Place,food,Manhattan,-73.99427936255978,New York
3444,Chinatown,40.71561842231432,-73.99427936255978,North Dumpling,40.71577434202553,-73.98962409427033,Dumpling Restaurant,food,Manhattan,-73.99427936255978,New York
3445,Chinatown,40.71561842231432,-73.99427936255978,Sun's Organic Tea Shop,40.715710273410835,-73.99869779295813,Chinese Restaurant,food,Manhattan,-73.99427936255978,New York
3446,Chinatown,40.71561842231432,-73.99427936255978,xCubicle,40.71556526937632,-73.98983848804811,Video Game Store,shops,Manhattan,-73.99427936255978,New York
3447,Chinatown,40.71561842231432,-73.99427936255978,Famous Sichuan,40.71472232549957,-73.99764134012933,Chinese Restaurant,food,Manhattan,-73.99427936255978,New York
3448,Washington Heights,40.851902525553044,-73.93690027985234,Green Juice Cafe,40.85189793238417,-73.93482699423339,Café,food,Manhattan,-73.93690027985234,New York
3449,Washington Heights,40.851902525553044,-73.93690027985234,The Uptown Garrison,40.85125539385438,-73.93947295544035,Restaurant,food,Manhattan,-73.93690027985234,New York
3450,Washington Heights,40.851902525553044,-73.93690027985234,Forever Coffee Bar,40.85043253392718,-73.93660674414312,Coffee Shop,food,Manhattan,-73.93690027985234,New York
3451,Washington Heights,40.851902525553044,-73.93690027985234,Burger Heights,40.85026807331502,-73.93461812752481,Burger Joint,food,Manhattan,-73.93690027985234,New York
3452,Washington Heights,40.851902525553044,-73.93690027985234,Le Chéile,40.85145903601843,-73.93998920917511,Café,food,Manhattan,-73.93690027985234,New York
3453,Washington Heights,40.851902525553044,-73.93690027985234,Saggio Restaurant,40.85142251681508,-73.93976122140884,Italian Restaurant,food,Manhattan,-73.93690027985234,New York
3454,Washington Heights,40.851902525553044,-73.93690027985234,Highest Natural Point In Manhattan,40.852843004488385,-73.93764973534918,Park,parks_outdoors,Manhattan,-73.93690027985234,New York
3455,Washington Heights,40.851902525553044,-73.93690027985234,Jin's Superette,40.85098865024419,-73.93851430188998,Deli / Bodega,food,Manhattan,-73.93690027985234,New York
3456,Washington Heights,40.851902525553044,-73.93690027985234,Qmart,40.85199915943576,-73.93491489398065,Market,shops,Manhattan,-73.93690027985234,New York
3457,Washington Heights,40.851902525553044,-73.93690027985234,181st St Bakery & Deli,40.85101361568652,-73.93859158137181,Bakery,food,Manhattan,-73.93690027985234,New York
3458,Washington Heights,40.851902525553044,-73.93690027985234,Tampopo Ramen,40.85069287922829,-73.93656823814172,Ramen Restaurant,food,Manhattan,-73.93690027985234,New York
3459,Washington Heights,40.851902525553044,-73.93690027985234,Altus Cafe,40.85227048549662,-73.93468709744222,Cocktail Bar,nightlife,Manhattan,-73.93690027985234,New York
